,Player,Pos.,Cap Figure,Base Salary,Likely Incent.,Unlikely Incent.,Trade Bonus,Cap Figure.1,Cap % Team,Cap % League,Notes,Year,Team,Cap %,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Qualifying Offer,Trade Kicker,Rights,Signed Using,Signing Bonus,Likely Incentives,Dead Cap,Age
0,Joe Johnson,SG,"$18,038,573","$14,518,851",-,-,-,"$18,038,573",25.16,31.08,/ Bird,2011,Atlanta Hawks,,,,,,,,,,,,,,
1,Josh Smith,SF,"$12,400,000","$9,980,488",-,-,-,"$12,400,000",17.3,21.36,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
2,Al Horford,C,"$12,000,000","$9,658,537",-,-,-,"$12,000,000",16.74,20.67,Rk Extension  / Bird,2011,Atlanta Hawks,,,,,,,,,,,,,,
3,Kirk Hinrich,SG,"$8,000,000","$6,439,024",-,-,-,"$8,000,000",11.16,13.78,Acquired via Trade  G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
4,Marvin Williams,PF,"$7,500,000","$6,036,585",-,-,-,"$7,500,000",10.46,12.92,/ Bird,2011,Atlanta Hawks,,,,,,,,,,,,,,
5,Zaza Pachulia,C,"$4,750,000","$3,823,171",-,-,-,"$4,750,000",6.63,8.18,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
6,Jeff Teague,PG,"$1,579,920","$1,271,643",-,-,-,"$1,579,920",2.2,2.72,Drafted  / Rookie Scale,2011,Atlanta Hawks,,,,,,,,,,,,,,
7,Willie Green,SF,"$1,352,181","$1,088,341",-,-,-,"$1,352,181",1.89,2.33,Acquired via Trade  G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
8,Vladimir Radmanovic,SF,"$1,352,181","$1,088,341",-,-,-,"$1,352,181",1.89,2.33,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
9,Jannero Pargo,PG,"$1,223,166","$1,223,166",-,-,-,"$1,223,166",1.71,2.11,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
10,Jason Collins,C,"$854,389","$1,088,341",-,-,-,"$854,389",1.19,1.47,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
11,Tracy McGrady,SG,"$854,389","$1,088,341",-,-,-,"$854,389",1.19,1.47,/ Minimum G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
12,Jerry Stackhouse,SF,"$854,389","$1,088,341",-,-,-,"$854,389",1.19,1.47,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
13,Ivan Johnson,PF,"$473,604","$381,193",-,-,-,"$473,604",0.66,0.82,Drafted  / Minimum G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
14,Erick Dampier,C,"$221,136","$349,976",-,-,-,"$221,136",0.31,0.38,RoS  / Minimum,2011,Atlanta Hawks,,,,,,,,,,,,,,
15,Donald Sloan,PG,"$129,168","$129,168",-,-,-,"$129,168",0.18,0.22,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
0,Josh Smith,SF,"$13,200,000","$13,200,000",-,-,-,"$13,200,000",19.85,22.74,/ G'teed: $0,2012,Atlanta Hawks,,,,,,,,,,,,,,
1,Al Horford,C,"$12,000,000","$12,000,000",-,-,-,"$12,000,000",18.05,20.67,Rk Extension  / Bird,2012,Atlanta Hawks,,,,,,,,,,,,,,
2,Devin Harris,PG,"$8,500,000","$8,500,000",-,-,-,"$8,500,000",12.78,14.64,Acquired via Trade,2012,Atlanta Hawks,,,,,,,,,,,,,,
3,Zaza Pachulia,C,"$5,248,750","$5,248,750",-,-,-,"$5,248,750",7.89,9.04,/ G'teed: $0,2012,Atlanta Hawks,,,,,,,,,,,,,,
4,Kyle Korver,SG,"$5,000,000","$5,000,000",-,-,-,"$5,000,000",7.52,8.61,Acquired via Trade,2012,Atlanta Hawks,,,,,,,,,,,,,,
5,Louis Williams,SG,"$5,000,000","$5,000,000",-,-,-,"$5,000,000",7.52,8.61,/ NT-MLE,2012,Atlanta Hawks,,,,,,,,,,,,,,
6,Johan Petro,C,"$3,500,000","$3,500,000",-,-,-,"$3,500,000",5.26,6.03,Acquired via Trade  G'teed: $0,2012,Atlanta Hawks,,,,,,,,,,,,,,
7,Dahntay Jones,SF,"$2,900,000","$2,900,000",-,-,-,"$2,900,000",4.36,5.0,Acquired via Trade,2012,Atlanta Hawks,,,,,,,,,,,,,,
8,Jeff Teague,PG,"$2,433,077","$2,433,077",-,-,-,"$2,433,077",3.66,4.19,Drafted  / Rookie Scale,2012,Atlanta Hawks,,,,,,,,,,,,,,
9,DeShawn Stevenson,SF,"$2,240,450","$2,240,450",-,-,-,"$2,240,450",3.37,3.86,/ Non-Bird G'teed: $0,2012,Atlanta Hawks,,,,,,,,,,,,,,
10,John Jenkins,SG,"$1,204,560","$1,204,560",-,-,-,"$1,204,560",1.81,2.08,Drafted  / Rookie Scale G'teed: $0,2012,Atlanta Hawks,,,,,,,,,,,,,,
11,Ivan Johnson,PF,"$962,195","$962,195",-,-,-,"$962,195",1.45,1.66,/ Minimum G'teed: $0,2012,Atlanta Hawks,,,,,,,,,,,,,,
12,Anthony Tolliver,PF,"$854,389","$915,852",-,-,-,"$854,389",1.28,1.47,/ Minimum G'teed: $0,2012,Atlanta Hawks,,,,,,,,,,,,,,
13,Mike Scott,PF,"$473,604","$473,604",-,-,-,"$473,604",0.71,0.82,Drafted  / Minimum G'teed: $0,2012,Atlanta Hawks,,,,,,,,,,,,,,
14,Shelvin Mack,PG,"$103,121","$103,121",-,-,-,"$103,121",0.16,0.18,/ Minimum,2012,Atlanta Hawks,,,,,,,,,,,,,,
0,Jordan Farmar,PG,"$1,500,000","$1,500,000",-,-,-,,,,,2012,Atlanta Hawks,2.26,,,,,,,,,,,,,
1,Jeremy Tyler,PF,"$762,195","$762,195",-,-,-,,,,Waived,2012,Atlanta Hawks,1.15,,,,,,,,,,,,,
2,Jordan Williams,PF,"$420,000","$420,000",-,-,-,,,,Waived,2012,Atlanta Hawks,0.63,,,,,,,,,,,,,
3,Jannero Pargo,PG,"$50,258","$72,309",-,-,-,,,,10-day,2012,Atlanta Hawks,0.08,,,,,,,,,,,,,
4,Jannero Pargo,PG,"$50,258","$72,309",-,-,-,,,,10-day,2012,Atlanta Hawks,0.08,,,,,,,,,,,,,
5,Shelvin Mack,PG,"$44,835","$44,835",-,-,-,,,,10-day,2012,Atlanta Hawks,0.07,,,,,,,,,,,,,
6,Shelvin Mack,PG,"$44,835","$44,835",-,-,-,,,,10-day,2012,Atlanta Hawks,0.07,,,,,,,,,,,,,
0,Al Horford,C,"$12,000,000","$12,000,000",-,-,-,"$12,000,000",17.95,20.45,Rk Extension  / Bird,2013,Atlanta Hawks,,,,,,,,,,,,,,
1,Paul Millsap,PF,"$9,500,000","$9,500,000",-,-,-,"$9,500,000",14.21,16.19,/ Space G'teed: $0,2013,Atlanta Hawks,,,,,,,,,,,,,,
2,Jeff Teague,PG,"$8,000,000","$8,000,000",-,-,-,"$8,000,000",11.97,13.63,/ Bird,2013,Atlanta Hawks,,,,,,,,,,,,,,
3,Kyle Korver,SG,"$6,760,563","$6,760,563",-,-,-,"$6,760,563",10.11,11.52,/ Bird,2013,Atlanta Hawks,,,,,,,,,,,,,,
4,Louis Williams,SG,"$5,225,000","$5,225,000",-,-,-,"$5,225,000",7.82,8.9,/ NT-MLE,2013,Atlanta Hawks,,,,,,,,,,,,,,
5,Elton Brand,PF,"$4,000,000","$4,000,000",-,-,-,"$4,000,000",5.98,6.82,Free Agent / Space G'teed: $0,2013,Atlanta Hawks,,,,,,,,,,,,,,
6,DeMarre Carroll,SF,"$2,557,545","$2,557,545",-,-,-,"$2,557,545",3.83,4.36,/ Space,2013,Atlanta Hawks,,,,,,,,,,,,,,
7,Gustavo Ayon,PF,"$1,500,000","$1,500,000",-,-,-,"$1,500,000",2.24,2.56,Acquired via Trade  G'teed: $0,2013,Atlanta Hawks,,,,,,,,,,,,,,
8,Dennis Schröder,PG,"$1,348,200","$1,348,200",-,-,-,"$1,348,200",2.02,2.3,Drafted  / Rookie Scale,2013,Atlanta Hawks,,,,,,,,,,,,,,
9,John Jenkins,SG,"$1,258,800","$1,258,800",-,-,-,"$1,258,800",1.88,2.15,Drafted  / Rookie Scale G'teed: $0,2013,Atlanta Hawks,,,,,,,,,,,,,,
10,Pero Antic,PF,"$1,200,000","$1,200,000",-,-,-,"$1,200,000",1.8,2.05,/ Space G'teed: $0,2013,Atlanta Hawks,,,,,,,,,,,,,,
11,Shelvin Mack,PG,"$884,293","$884,293",-,-,-,"$884,293",1.32,1.51,/ Minimum,2013,Atlanta Hawks,,,,,,,,,,,,,,
12,Mike Scott,PF,"$788,872","$788,872",-,-,-,"$788,872",1.18,1.34,Drafted  / Minimum G'teed: $0,2013,Atlanta Hawks,,,,,,,,,,,,,,
13,Cartier Martin,PF,"$332,402","$332,402",-,-,-,"$332,402",0.5,0.57,/ Minimum G'teed: $0,2013,Atlanta Hawks,,,,,,,,,,,,,,
14,Mike Muscala,PF,"$161,471","$161,471",-,-,-,"$161,471",0.24,0.28,Drafted  / Space G'teed: $0,2013,Atlanta Hawks,,,,,,,,,,,,,,
0,Jared Cunningham,SG,"$1,208,400","$1,208,400",-,-,-,,,,Waived,2013,Atlanta Hawks,1.81,,,,,,,,,,,,,
1,Antawn Jamison,PF,"$884,293","$1,399,507",-,-,-,,,,Waived,2013,Atlanta Hawks,1.32,,,,,,,,,,,,,
2,Cartier Martin,PF,"$435,144","$435,144",-,-,-,,,,Waived,2013,Atlanta Hawks,0.65,,,,,,,,,,,,,
3,Jeremy Tyler,PF,"$100,000","$100,000",-,-,-,,,,Waived,2013,Atlanta Hawks,0.15,,,,,,,,,,,,,
4,Adonis Thomas,SF,"$50,000","$50,000",-,-,-,,,,Waived,2013,Atlanta Hawks,0.07,,,,,,,,,,,,,
5,Cartier Martin,PF,"$60,437","$60,437",-,-,-,,,,10-day,2013,Atlanta Hawks,0.09,,,,,,,,,,,,,
6,Cartier Martin,PF,"$60,437","$60,437",-,-,-,,,,10-day,2013,Atlanta Hawks,0.09,,,,,,,,,,,,,
7,Hilton Armstrong,C,"$52,017","$60,437",-,-,-,,,,10-day,2013,Atlanta Hawks,0.08,,,,,,,,,,,,,
8,Dexter Pittman,C,"$52,017","$52,017",-,-,-,,,,10-day,2013,Atlanta Hawks,0.08,,,,,,,,,,,,,
9,James Nunnally,SF,"$28,834","$28,834",-,-,-,,,,10-day,2013,Atlanta Hawks,0.04,,,,,,,,,,,,,
10,James Nunnally,SF,"$28,834","$28,834",-,-,-,,,,10-day,2013,Atlanta Hawks,0.04,,,,,,,,,,,,,
0,Al Horford,C,"$12,000,000","$12,000,000",-,-,-,"$12,000,000",20.57,19.03,Rk Extension  / Bird,2014,Atlanta Hawks,,,,,,,,,,,,,,
1,Paul Millsap,PF,"$9,500,000","$9,500,000",-,-,-,"$9,500,000",16.29,15.06,/ Space G'teed: $0,2014,Atlanta Hawks,,,,,,,,,,,,,,
2,Jeff Teague,PG,"$8,000,000","$8,000,000",-,-,-,"$8,000,000",13.72,12.69,/ Bird,2014,Atlanta Hawks,,,,,,,,,,,,,,
3,Kyle Korver,SG,"$6,253,521","$6,253,521",-,-,-,"$6,253,521",10.72,9.92,/ Bird,2014,Atlanta Hawks,,,,,,,,,,,,,,
4,Thabo Sefolosha,SF,"$4,150,000","$4,150,000",-,-,-,"$4,150,000",7.11,6.58,Acquired via Trade  G'teed: $0  SEI-,2014,Atlanta Hawks,,,,,,,,,,,,,,
5,Mike Scott,PF,"$3,333,333","$3,333,333",-,-,-,"$3,333,333",5.71,5.29,/ Early Bird G'teed: $0,2014,Atlanta Hawks,,,,,,,,,,,,,,
6,DeMarre Carroll,SF,"$2,442,455","$2,442,455",-,-,-,"$2,442,455",4.19,3.87,/ Space,2014,Atlanta Hawks,,,,,,,,,,,,,,
7,Shelvin Mack,PG,"$2,433,333","$2,433,333",-,-,-,"$2,433,333",4.17,3.86,/ Space,2014,Atlanta Hawks,,,,,,,,,,,,,,
8,Kent Bazemore,SG,"$2,000,000","$2,000,000",-,-,-,"$2,000,000",3.43,3.17,/ Space,2014,Atlanta Hawks,,,,,,,,,,,,,,
9,Elton Brand,PF,"$2,000,000","$2,000,000",-,-,-,"$2,000,000",3.43,3.17,Free Agent / Space G'teed: $0,2014,Atlanta Hawks,,,,,,,,,,,,,,
10,Dennis Schröder,PG,"$1,690,680","$1,690,680",-,-,-,"$1,690,680",2.9,2.68,Drafted  / Rookie Scale,2014,Atlanta Hawks,,,,,,,,,,,,,,
11,John Jenkins,SG,"$1,312,920","$1,312,920",-,-,-,"$1,312,920",2.25,2.08,Drafted  / Rookie Scale G'teed: $0,2014,Atlanta Hawks,,,,,,,,,,,,,,
12,Pero Antic,PF,"$1,250,000","$1,250,000",-,-,-,"$1,250,000",2.14,1.98,/ Space G'teed: $0,2014,Atlanta Hawks,,,,,,,,,,,,,,
13,Mike Muscala,PF,"$816,482","$816,482",-,-,-,"$816,482",1.4,1.29,Drafted  / Space G'teed: $0,2014,Atlanta Hawks,,,,,,,,,,,,,,
14,Austin Daye,PF,"$62,552","$62,552",-,-,-,"$62,552",0.11,0.1,/ Minimum G'teed: $0,2014,Atlanta Hawks,,,,,,,,,,,,,,
0,John Salmons,SF,"$1,000,000","$1,000,000",-,-,-,,,,Waived,2014,Atlanta Hawks,1.71,,,,,,,,,,,,,
1,Austin Daye,PF,"$53,838","$62,552",-,-,-,,,,10-day,2014,Atlanta Hawks,0.09,,,,,,,,,,,,,
2,Jarell Eddie,SF,"$29,843","$29,843",-,-,-,,,,10-day,2014,Atlanta Hawks,0.05,,,,,,,,,,,,,
0,Paul Millsap,PF,"$18,671,659","$18,671,659",-,-,-,"$18,671,659",26.15,26.67,/ Bird G'teed: $0,2015,Atlanta Hawks,,,,,,,,,,,,,,
1,Al Horford,C,"$12,000,000","$12,000,000",-,-,-,"$12,000,000",16.8,17.14,Rk Extension  / Bird,2015,Atlanta Hawks,,,,,,,,,,,,,,
2,Tiago Splitter,PF,"$8,800,000","$8,500,000",-,-,-,"$8,800,000",12.32,12.57,Acquired via Trade  G'teed: $0  SEI-Hip,2015,Atlanta Hawks,,,,,,,,,,,,,,
3,Jeff Teague,PG,"$8,000,000","$8,000,000",-,-,-,"$8,000,000",11.2,11.43,/ Bird,2015,Atlanta Hawks,,,,,,,,,,,,,,
4,Kyle Korver,SG,"$5,746,479","$5,746,479",-,-,-,"$5,746,479",8.05,8.21,/ Bird,2015,Atlanta Hawks,,,,,,,,,,,,,,
5,Thabo Sefolosha,SF,"$4,000,000","$4,000,000",-,-,-,"$4,000,000",5.6,5.71,Acquired via Trade  G'teed: $0,2015,Atlanta Hawks,,,,,,,,,,,,,,
6,Mike Scott,PF,"$3,333,333","$3,333,333",-,-,-,"$3,333,333",4.67,4.76,/ Early Bird G'teed: $0,2015,Atlanta Hawks,,,,,,,,,,,,,,
7,Kirk Hinrich,SG,"$2,996,008","$2,854,940",-,-,-,"$2,996,008",4.2,4.28,Acquired via Trade  G'teed: $0,2015,Atlanta Hawks,,,,,,,,,,,,,,
8,Kent Bazemore,SF,"$2,000,000","$2,000,000",-,-,-,"$2,000,000",2.8,2.86,/ Space,2015,Atlanta Hawks,,,,,,,,,,,,,,
9,Dennis Schröder,PG,"$1,763,400","$1,763,400",-,-,-,"$1,763,400",2.47,2.52,Drafted  / Rookie Scale,2015,Atlanta Hawks,,,,,,,,,,,,,,
10,Tim Hardaway Jr.,SG,"$1,304,520","$1,304,520",-,-,-,"$1,304,520",1.83,1.86,Acquired via Trade,2015,Atlanta Hawks,,,,,,,,,,,,,,
11,Walter Tavares,C,"$1,000,000","$1,000,000",-,-,-,"$1,000,000",1.4,1.43,Drafted  / Space,2015,Atlanta Hawks,,,,,,,,,,,,,,
12,Mike Muscala,PF,"$947,276","$947,276",-,-,-,"$947,276",1.33,1.35,Drafted  / Space G'teed: $0,2015,Atlanta Hawks,,,,,,,,,,,,,,
13,Lamar Patterson,SG,"$525,093","$525,093",-,-,-,"$525,093",0.74,0.75,/ Minimum G'teed: $0,2015,Atlanta Hawks,,,,,,,,,,,,,,
14,Kris Humphries,PF,"$245,177","$388,025",-,-,-,"$245,177",0.34,0.35,/ Minimum G'teed: $0,2015,Atlanta Hawks,,,,,,,,,,,,,,
0,Terran Petteway,SF,"$75,000","$75,000",-,-,-,,,,Waived,2015,Atlanta Hawks,0.11,,,,,,,,,,,,,
0,Dwight Howard,C,"$23,180,275","$23,180,275",-,-,-,"$23,180,275",24.26,24.62,/ Space,2016,Atlanta Hawks,,,,,,,,,,,,,,
1,Paul Millsap,PF,"$20,072,033","$20,072,033",-,-,-,"$20,072,033",21.0,21.32,/ Bird G'teed: $0,2016,Atlanta Hawks,,,,,,,,,,,,,,
2,Kent Bazemore,SF,"$15,730,338","$15,730,338",-,-,-,"$15,730,338",16.46,16.71,/ Space,2016,Atlanta Hawks,,,,,,,,,,,,,,
3,Ersan Ilyasova,PF,"$8,400,000","$8,400,000",-,-,-,"$8,400,000",8.79,8.92,Acquired via Trade,2016,Atlanta Hawks,,,,,,,,,,,,,,
4,Mike Dunleavy,SF,"$4,837,500","$4,837,500",-,-,-,"$4,837,500",5.06,5.14,Acquired via Trade,2016,Atlanta Hawks,,,,,,,,,,,,,,
5,Kris Humphries,PF,"$4,000,000","$4,000,000",-,-,-,"$4,000,000",4.19,4.25,/ Space G'teed: $0  Can Veto Trade,2016,Atlanta Hawks,,,,,,,,,,,,,,
6,Thabo Sefolosha,SF,"$3,850,000","$3,850,000",-,-,-,"$3,850,000",4.03,4.09,Acquired via Trade  G'teed: $0,2016,Atlanta Hawks,,,,,,,,,,,,,,
7,Dennis Schröder,PG,"$2,708,582","$2,708,582",-,-,-,"$2,708,582",2.83,2.88,Drafted  / Rookie Scale,2016,Atlanta Hawks,,,,,,,,,,,,,,
8,Malcom Delaney,SG,"$2,500,000","$2,500,000",-,-,-,"$2,500,000",2.62,2.66,Drafted  / Space,2016,Atlanta Hawks,,,,,,,,,,,,,,
9,Taurean Prince,SF,"$2,318,280","$2,318,280",-,-,-,"$2,318,280",2.43,2.46,Drafted  / Rookie Scale,2016,Atlanta Hawks,,,,,,,,,,,,,,
10,Tim Hardaway Jr.,SG,"$2,281,605","$2,281,605",-,-,-,"$2,281,605",2.39,2.42,Acquired via Trade,2016,Atlanta Hawks,,,,,,,,,,,,,,
11,DeAndre' Bembry,SF,"$1,499,760","$1,499,760",-,-,-,"$1,499,760",1.57,1.59,Drafted  / Rookie Scale,2016,Atlanta Hawks,,,,,,,,,,,,,,
12,Mike Muscala,PF,"$1,015,696","$1,015,696",-,-,-,"$1,015,696",1.06,1.08,Drafted  / Space,2016,Atlanta Hawks,,,,,,,,,,,,,,
13,Ryan Kelly,PF,"$286,785","$286,785",-,-,-,"$286,785",0.3,0.3,/ Minimum,2016,Atlanta Hawks,,,,,,,,,,,,,,
14,Jose Calderon,PG,"$247,991","$392,478",-,-,-,"$247,991",0.26,0.26,"/ Minimum G'teed: $365,096",2016,Atlanta Hawks,,,,,,,,,,,,,,
0,Walter Tavares,C,"$1,000,000","$1,000,000",-,-,-,,,,Waived,2016,Atlanta Hawks,1.05,,,,,,,,,,,,,
1,Jarrett Jack,PG,"$980,431","$1,551,659",-,-,-,,,,Waived,2016,Atlanta Hawks,1.03,,,,,,,,,,,,,
2,Ryan Kelly,PF,"$418,228","$418,228",-,-,-,,,,Waived,2016,Atlanta Hawks,0.44,,,,,,,,,,,,,
3,Matt Costello,C,"$50,000","$50,000",-,-,-,,,,Waived,2016,Atlanta Hawks,0.05,,,,,,,,,,,,,
4,Lamar Patterson,SG,"$25,725","$25,725",-,-,-,,,,Waived,2016,Atlanta Hawks,0.03,,,,,,,,,,,,,
5,Gary Neal,PG,"$57,672","$72,193",-,-,-,,,,10-day,2016,Atlanta Hawks,0.06,,,,,,,,,,,,,
6,Lamar Patterson,SG,"$51,449","$51,449",-,-,-,,,,10-day,2016,Atlanta Hawks,0.05,,,,,,,,,,,,,
7,Lamar Patterson,SG,"$51,449","$51,449",-,-,-,,,,10-day,2016,Atlanta Hawks,0.05,,,,,,,,,,,,,
0,Kent Bazemore,SF,"$16,910,113","$16,910,113",-,-,-,"$16,910,113",16.89,17.06,/ Space  Knee,2017,Atlanta Hawks,,,,,,,,,,,,,,
1,Dennis Schröder,PG,"$15,500,000","$15,500,000",-,"$2,000,000",-,"$15,500,000",15.48,15.64,Rk Extension  / Bird,2017,Atlanta Hawks,,,,,,,,,,,,,,
2,Miles Plumlee,C,"$12,500,000","$12,500,000",-,"$600,000",-,"$12,500,000",12.49,12.61,Acquired via Trade,2017,Atlanta Hawks,,,,,,,,,,,,,,
3,Dewayne Dedmon,C,"$6,000,000","$6,000,000",-,-,-,"$6,000,000",5.99,6.05,/ Space,2017,Atlanta Hawks,,,,,,,,,,,,,,
4,Mike Muscala,PF,"$5,000,000","$5,000,000",-,-,-,"$5,000,000",4.99,5.05,/ Bird  Can Veto Trade,2017,Atlanta Hawks,,,,,,,,,,,,,,
5,Malcom Delaney,SG,"$2,500,000","$2,500,000",-,-,-,"$2,500,000",2.5,2.52,Drafted  / Space  SEI-Ankle,2017,Atlanta Hawks,,,,,,,,,,,,,,
6,Taurean Prince,SF,"$2,422,560","$2,422,560",-,-,-,"$2,422,560",2.42,2.44,Drafted  / Rookie Scale,2017,Atlanta Hawks,,,,,,,,,,,,,,
7,John Collins,PF,"$1,936,920","$1,936,920",-,-,-,"$1,936,920",1.93,1.95,Drafted  / Rookie Scale,2017,Atlanta Hawks,,,,,,,,,,,,,,
8,DeAndre' Bembry,SF,"$1,567,200","$1,567,200",-,-,-,"$1,567,200",1.57,1.58,Drafted  / Rookie Scale,2017,Atlanta Hawks,,,,,,,,,,,,,,
9,Isaiah Taylor,PG,"$1,312,611","$1,312,611",-,-,-,"$1,312,611",1.31,1.32,/ Minimum,2017,Atlanta Hawks,,,,,,,,,,,,,,
10,Tyler Dorsey,SG,"$815,615","$815,615",-,-,-,"$815,615",0.81,0.82,Drafted  / Minimum,2017,Atlanta Hawks,,,,,,,,,,,,,,
11,Tyler Cavanaugh,PF,"$679,919","$679,919",-,-,-,"$679,919",0.68,0.69,/ Minimum,2017,Atlanta Hawks,,,,,,,,,,,,,,
12,Antonius Cleveland,SG,"$133,632","$133,632",-,-,-,"$133,632",0.13,0.13,/ Minimum,2017,Atlanta Hawks,,,,,,,,,,,,,,
13,Jaylen Morris,G,"$101,376","$101,376",-,-,-,"$101,376",0.1,0.1,/ Minimum,2017,Atlanta Hawks,,,,,,,,,,,,,,
14,Damion Lee,G,"$46,080","$46,080",-,-,-,"$46,080",0.05,0.05,/ Minimum,2017,Atlanta Hawks,,,,,,,,,,,,,,
0,Josh Magette,PG,,,,,,,,,,2017,Atlanta Hawks,,,,,,,,,,,,,,
1,Andrew White III,G,,,,,,,,,,2017,Atlanta Hawks,,,,,,,,,,,,,,
0,Jamal Crawford,SG,"$10,942,762","$10,942,762",-,-,-,,,,Waived,2017,Atlanta Hawks,10.93,,,,,,,,,,,,,
1,Marco Belinelli,SG,"$6,306,061","$6,306,061",-,-,-,,,,Waived,2017,Atlanta Hawks,6.3,,,,,,,,,,,,,
2,Ersan Ilyasova,PF,"$5,434,282","$5,434,282",-,-,-,,,,Waived,2017,Atlanta Hawks,5.43,,,,,,,,,,,,,
3,Richard Jefferson,SF,"$2,500,000","$2,500,000",-,-,-,,,,Waived,2017,Atlanta Hawks,2.5,,,,,,,,,,,,,
4,Mike Dunleavy,SF,"$1,662,500","$1,662,500",-,-,-,,,,Waived,2017,Atlanta Hawks,1.66,,,,,,,,,,,,,
5,Nicolas Brussino,SF,"$1,312,611","$1,312,611",-,-,-,,,,Waived,2017,Atlanta Hawks,1.31,,,,,,,,,,,,,
6,Sheldon McClellan,SG,"$1,312,611","$1,312,611",-,-,-,,,,Waived,2017,Atlanta Hawks,1.31,,,,,,,,,,,,,
7,Diamond Stone,C,"$1,312,611","$1,312,611",-,-,-,,,,Waived,2017,Atlanta Hawks,1.31,,,,,,,,,,,,,
8,Okaro White,PF,"$1,312,611","$1,312,611",-,-,-,,,,Waived,2017,Atlanta Hawks,1.31,,,,,,,,,,,,,
9,Quinn Cook,PG,"$100,000","$100,000",-,-,-,,,,Waived,2017,Atlanta Hawks,0.1,,,,,,,,,,,,,
10,Tyler Cavanaugh,PF,"$50,000","$50,000",-,-,-,,,,Waived,2017,Atlanta Hawks,0.05,,,,,,,,,,,,,
11,Jeremy Evans,SF,"$50,000","$50,000",-,-,-,,,,Waived,2017,Atlanta Hawks,0.05,,,,,,,,,,,,,
12,DeAndre Liggins,SG,"$26,773","$26,773",-,-,-,,,,Waived,2017,Atlanta Hawks,0.03,,,,,,,,,,,,,
13,Jeremy Evans,SF,"$83,129","$104,059",-,-,-,,,,10-day,2017,Atlanta Hawks,0.08,,,,,,,,,,,,,
14,Antonius Cleveland,SG,"$46,080","$46,080",-,-,-,,,,10-day,2017,Atlanta Hawks,0.05,,,,,,,,,,,,,
15,Antonius Cleveland,SG,"$46,080","$46,080",-,-,-,,,,10-day,2017,Atlanta Hawks,0.05,,,,,,,,,,,,,
16,Damion Lee,G,"$46,080","$46,080",-,-,-,,,,10-day,2017,Atlanta Hawks,0.05,,,,,,,,,,,,,
17,Damion Lee,G,"$46,080","$46,080",-,-,-,,,,10-day,2017,Atlanta Hawks,0.05,,,,,,,,,,,,,
18,Jaylen Morris,G,"$46,080","$46,080",-,-,-,,,,10-day,2017,Atlanta Hawks,0.05,,,,,,,,,,,,,
19,Jaylen Morris,G,"$46,080","$46,080",-,-,-,,,,10-day,2017,Atlanta Hawks,0.05,,,,,,,,,,,,,
0,Kent Bazemore,SG,"$18,089,887","$18,089,887",-,-,-,"$18,089,887",17.47,17.76,/ Space,2018,Atlanta Hawks,,,,,,,,,,,,,,
1,Miles Plumlee,C,"$12,500,000","$12,500,000",-,"$600,000",-,"$12,500,000",12.07,12.27,Acquired via Trade  Knee,2018,Atlanta Hawks,,,,,,,,,,,,,,
2,Dewayne Dedmon,C,"$7,200,000","$6,300,000","$900,000",-,-,"$7,200,000",6.95,7.07,/ Space  Ankle,2018,Atlanta Hawks,,,,,,,,,,,,,,
3,Trae Young,PG,"$5,356,440","$5,356,440",-,-,-,"$5,356,440",5.17,5.26,Drafted  / Rookie Scale,2018,Atlanta Hawks,,,,,,,,,,,,,,
4,Alex Len,C,"$4,350,000","$4,350,000",-,-,-,"$4,350,000",4.2,4.27,/ Room,2018,Atlanta Hawks,,,,,,,,,,,,,,
5,Taurean Prince,SF,"$2,526,840","$2,526,840",-,-,-,"$2,526,840",2.44,2.48,Drafted  / Rookie Scale,2018,Atlanta Hawks,,,,,,,,,,,,,,
6,Justin Anderson,SG,"$2,516,048","$2,516,048",-,-,-,"$2,516,048",2.43,2.47,Acquired via Trade,2018,Atlanta Hawks,,,,,,,,,,,,,,
7,John Collins,PF,"$2,299,080","$2,299,080",-,-,-,"$2,299,080",2.22,2.26,Drafted  / Rookie Scale,2018,Atlanta Hawks,,,,,,,,,,,,,,
8,Kevin Huerter,SG,"$2,250,960","$2,250,960",-,-,-,"$2,250,960",2.17,2.21,Drafted  / Rookie Scale,2018,Atlanta Hawks,,,,,,,,,,,,,,
9,DeAndre' Bembry,SF,"$1,634,640","$1,634,640",-,-,-,"$1,634,640",1.58,1.6,Drafted  / Rookie Scale,2018,Atlanta Hawks,,,,,,,,,,,,,,
